"",From,To,Count
"212",16,19,1
"213",16,20,1
"214",16,21,1
"215",16,22,1
"216",16,23,1
"217",16,24,1
"218",16,26,1
"219",17,1,1
"220",17,11,1
"221",17,12,1
"222",17,13,1
"223",17,14,1
"224",17,15,1
"225",17,16,1
"226",17,19,1
"227",17,24,1
"228",17,26,1
"229",17,28,1
"230",17,29,1
"231",18,8,1
"232",18,9,1
"233",18,13,1
"234",18,16,1
"235",18,25,1
"236",19,14,1
"237",19,15,1
"238",19,16,1
"239",19,17,1
"240",19,18,1
"241",19,20,1
"242",19,21,1
"243",19,22,1
"244",19,23,1
"245",19,24,1
"246",19,26,1
"247",19,27,1
"248",20,2,1
"249",20,5,1
"250",20,11,1
"251",20,13,1
"252",20,14,1
"253",20,15,1
"254",20,16,1
"255",20,19,1
"256",20,21,1
"257",20,22,1
"258",20,23,1
"259",20,24,1
"260",20,25,1
"261",20,26,1
"262",20,27,1
"263",21,1,1
"264",21,2,1
"265",21,5,1
"266",21,11,1
"267",21,14,1
"268",21,16,1
"269",21,19,1
"270",21,20,1
"271",21,22,1
"272",21,23,1
"273",22,2,1
"274",22,5,1
"275",22,11,1
"276",22,14,1
"277",22,15,1
"278",22,16,1
"279",22,19,1
"280",22,20,1
"281",22,21,1
"282",22,23,1
"283",22,26,1
"284",22,27,1
"285",22,29,1
"286",23,14,1
"287",23,15,1
"288",23,16,1
"289",23,19,1
"290",23,20,1
"291",23,21,1
"292",23,22,1
"293",23,25,1
"294",23,26,1
"295",23,27,1
"296",23,29,1
"297",24,13,1
"298",24,14,1
"299",24,15,1
"300",24,16,1
"301",24,17,1
"302",24,18,1
"303",24,19,1
"304",24,20,1
"305",24,21,1
"306",24,22,1
"307",24,23,1
"308",24,25,1
"309",24,26,1
"310",24,27,1
"311",24,28,1
"312",24,29,1
"313",25,8,1
"314",25,9,1
"315",25,11,1
"316",25,13,1
"317",25,18,1
"318",26,14,1
"319",26,15,1
"320",26,16,1
"321",26,19,1
"322",26,20,1
"323",26,22,1
"324",26,23,1
"325",26,27,1
"326",27,14,1
"327",27,17,1
"328",27,19,1
"329",27,20,1
"330",27,21,1
"331",27,22,1
"332",27,26,1
"333",27,28,1
"334",27,29,1
"335",28,2,1
"336",28,4,1
"337",28,5,1
"338",28,8,1
"339",28,9,1
"340",28,12,1
"341",28,13,1
"342",28,15,1
"343",28,17,1
"344",28,20,1
"345",28,21,1
"346",28,23,1
"347",28,24,1
"348",28,26,1
"349",28,27,1
"350",28,29,1
"351",29,2,1
"352",29,4,1
"353",29,8,1
"354",29,9,1
"355",29,13,1
"356",29,17,1
"357",29,23,1
"358",29,24,1
"359",29,26,1
"360",29,27,1
"361",29,28,1
